Model,Split,MAE,RMSE,R2,MAPE,DirectionalAccuracy
Ridge,Validation,108.80112705804322,135.96812244432627,0.8242079076872477,0.12509285053774705,0.48846153846153845
Lasso,Validation,110.95334598235256,139.1321628592516,0.8159311889477653,0.12768597010673816,0.48846153846153845
Linear Regression,Validation,111.20393026029949,139.52933304924306,0.8148787940278454,0.12798870280688288,0.49615384615384617
Gradient Boosting,Validation,143.56551306786199,181.4857037195723,0.6868084949770143,0.16272275120555477,0.49230769230769234
Random Forest,Validation,156.49049493002934,205.2595762182071,0.5993805872054432,0.17937677937942295,0.5
Random Forest Tuned,Validation,162.47985788868712,212.98774333320193,0.5686454748320804,0.18400225933304185,0.5076923076923077
SVR Tuned,Validation,266.7040404500896,362.9566361617429,-0.25266405846361883,0.23820822743268535,0.5346153846153846
SVR,Validation,365.3054510132709,469.54281009916485,-1.0964066263917314,0.32523707921470313,0.5269230769230769
Dummy Mean,Validation,486.37705244672344,584.5755028127868,-2.249423806731821,0.45158707007578713,0.5038461538461538
