,PredictedClose
2023-05-15,344.0
2023-05-16,345.53718311500796
2023-05-17,347.0743662300159
2023-05-18,348.6115493450239
2023-05-19,350.1487324600318
2023-05-22,354.7602818050557
2023-05-23,356.6211832683595
2023-05-24,358.4820847316633
2023-05-25,360.3429861949671
2023-05-26,362.20388765827096
2023-05-29,367.7865920481824
2023-05-30,369.2386406645872
2023-05-31,370.69068928099193
2023-06-01,372.1427378973967
2023-06-02,373.59478651380147
2023-06-05,377.9509323630158
2023-06-06,380.07656959566935
2023-06-07,382.20220682832286
2023-06-08,384.3278440609764
2023-06-09,386.45348129363
2023-06-12,392.8303929915906
2023-06-13,394.91377540272595
2023-06-14,396.9971578138613
2023-06-15,399.08054022499664
2023-06-16,401.16392263613193
2023-06-19,407.41406986953797
2023-06-20,410.4214512081079
2023-06-21,413.42883254667777
2023-06-22,416.4362138852477
2023-06-23,419.44359522381757
2023-06-26,428.4657392395273
2023-06-27,433.3033171319373
2023-06-28,438.1408950243474
2023-06-29,442.9784729167574
2023-06-30,447.81605080916745
2023-07-03,462.3287844863976
2023-07-04,469.31505660475653
2023-07-05,476.30132872311543
2023-07-06,483.2876008414744
2023-07-07,490.27387295983334
2023-07-10,511.23268931491015
2023-07-11,521.5118774054737
2023-07-12,531.7910654960373
2023-07-13,542.0702535866008
2023-07-14,552.3494416771644
2023-07-17,583.187005948855
2023-07-18,590.3583860134229
2023-07-19,597.5297660779908
2023-07-20,604.7011461425586
2023-07-21,611.8725262071266
2023-07-24,633.3866664008302
2023-07-25,635.774850405756
2023-07-26,638.1630344106817
2023-07-27,640.5512184156074
2023-07-28,642.9394024205333
2023-07-31,650.1039544353105
2023-08-01,651.8881648358918
2023-08-02,653.672375236473
2023-08-03,655.4565856370543
2023-08-04,657.2407960376356
2023-08-07,662.5934272393795
2023-08-08,665.1360042310231
2023-08-09,667.6785812226668
2023-08-10,670.2211582143104
2023-08-11,672.7637352059542
2023-08-14,680.3914661808851
2023-08-15,682.2120443055284
2023-08-16,684.0326224301717
2023-08-17,685.853200554815
2023-08-18,687.6737786794583
2023-08-21,693.1355130533882
2023-08-22,696.0888189637114
2023-08-23,699.0421248740347
2023-08-24,701.995430784358
2023-08-25,704.9487366946813
2023-08-28,713.8086544256511
2023-08-29,716.1072967198955
2023-08-30,718.4059390141399
2023-08-31,720.7045813083844
2023-09-01,723.0032236026287
2023-09-04,729.899150485362
2023-09-05,731.3706844022219
2023-09-06,732.8422183190818
2023-09-07,734.3137522359416
2023-09-08,735.7852861528014
2023-09-11,740.199887903381
2023-09-12,739.7588866319943
2023-09-13,739.3178853606078
2023-09-14,738.8768840892211
2023-09-15,738.4358828178345
2023-09-18,737.1128790036746
2023-09-19,736.9221318169341
2023-09-20,736.7313846301936
2023-09-21,736.5406374434531
2023-09-22,736.3498902567125
2023-09-25,735.7776486964909
2023-09-26,733.4951981858228
2023-09-27,731.2127476751546
2023-09-28,728.9302971644864
2023-09-29,726.6478466538183
2023-10-02,719.8004951218138
2023-10-03,716.218573800715
2023-10-04,712.6366524796164
2023-10-05,709.0547311585176
2023-10-06,705.4728098374189
2023-10-09,694.7270458741227
2023-10-10,692.0875807249545
2023-10-11,689.4481155757862
2023-10-12,686.808650426618
2023-10-13,684.1691852774497
2023-10-16,676.250789829945
2023-10-17,674.2456783367237
2023-10-18,672.2405668435025
2023-10-19,670.2354553502812
2023-10-20,668.23034385706
2023-10-23,662.2150093773962
2023-10-24,661.5381925534906
2023-10-25,660.8613757295851
2023-10-26,660.1845589056795
2023-10-27,659.507742081774
2023-10-30,657.4772916100574
2023-10-31,658.1918379530089
2023-11-01,658.9063842959604
2023-11-02,659.6209306389119
2023-11-03,660.3354769818634
2023-11-06,662.4791160107179
2023-11-07,664.3543593598841
2023-11-08,666.2296027090503
2023-11-09,668.1048460582165
2023-11-10,669.9800894073827
2023-11-13,675.6058194548813
2023-11-14,678.3007523188604
2023-11-15,680.9956851828397
2023-11-16,683.6906180468188
2023-11-17,686.385550910798
2023-11-20,694.4703495027355
2023-11-21,698.2010187020453
2023-11-22,701.931687901355
2023-11-23,705.6623571006647
2023-11-24,709.3930262999745
2023-11-27,720.5850338979037
2023-11-28,725.3967902882192
2023-11-29,730.2085466785347
2023-11-30,735.0203030688502
2023-12-01,739.8320594591657
2023-12-04,754.2673286301123
2023-12-05,759.782166418273
2023-12-06,765.2970042064337
2023-12-07,770.8118419945945
2023-12-08,776.3266797827553
2023-12-11,792.8711931472375
2023-12-12,798.8227555341158
2023-12-13,804.7743179209941
2023-12-14,810.7258803078724
2023-12-15,816.6774426947507
2023-12-18,834.5321298553856
2023-12-19,840.5384668738837
2023-12-20,846.544803892382
2023-12-21,852.5511409108801
2023-12-22,858.5574779293784
2023-12-25,876.5764889848729
2023-12-26,881.4658917335297
2023-12-27,886.3552944821864
2023-12-28,891.2446972308433
2023-12-29,896.1340999795001
2024-01-01,910.8023082254705
2024-01-02,909.9631378289571
2024-01-03,909.1239674324436
2024-01-04,908.2847970359302
2024-01-05,907.4456266394168
2024-01-08,904.9281154498765
2024-01-09,907.0795909026963
2024-01-10,909.2310663555162
2024-01-11,911.382541808336
2024-01-12,913.5340172611558
2024-01-15,919.9884436196153
2024-01-16,922.9249115944049
2024-01-17,925.8613795691946
2024-01-18,928.7978475439842
2024-01-19,931.7343155187738
2024-01-22,940.5437194431427
