Date,PredictedClose
2023-05-22,354.7602818050557
2023-05-29,367.7865920481824
2023-06-05,377.9509323630158
2023-06-12,392.8303929915906
2023-06-19,407.41406986953797
2023-06-26,428.4657392395273
2023-07-03,462.3287844863976
2023-07-10,511.23268931491015
2023-07-17,583.187005948855
2023-07-24,633.3866664008302
2023-07-31,650.1039544353105
2023-08-07,662.5934272393795
2023-08-14,680.3914661808851
2023-08-21,693.1355130533882
2023-08-28,713.8086544256511
2023-09-04,729.899150485362
2023-09-11,740.199887903381
2023-09-18,737.1128790036746
2023-09-25,735.7776486964909
2023-10-02,719.8004951218138
2023-10-09,694.7270458741227
2023-10-16,676.250789829945
2023-10-23,662.2150093773962
2023-10-30,657.4772916100574
2023-11-06,662.4791160107179
2023-11-13,675.6058194548813
2023-11-20,694.4703495027355
2023-11-27,720.5850338979037
2023-12-04,754.2673286301123
2023-12-11,792.8711931472375
2023-12-18,834.5321298553856
2023-12-25,876.5764889848729
2024-01-01,910.8023082254705
2024-01-08,904.9281154498765
2024-01-15,919.9884436196153
2024-01-22,940.5437194431427
2024-01-29,958.7955774939
2024-02-05,978.2467857682943
2024-02-12,1005.5974617907624
2024-02-19,1026.6346063549631
2024-02-26,1041.695323248114
2024-03-04,1054.5884205640368
2024-03-11,1054.6364278677731
2024-03-18,1033.8349964100516
2024-03-25,984.1574478943005
2024-04-01,925.4578062223986
2024-04-08,870.9876345565427
2024-04-15,824.4622176605187
2024-04-22,792.2376266707886
2024-04-29,779.4281863905411
2024-05-06,790.3927792084801
